,DA_Ran_D_Ht_5,DA_Ran_S_Ht_5,DA_Ran_VD_Ht_3,DA_Ran_VS_Ht_5,ecc_clo_Ran_D_Ht_5,ecc_clo_Ran_S_Ht_5,ecc_clo_Ran_VD_Ht_3,ecc_clo_Ran_VS_Ht_5,lpsi_Ran_D_Ht_5,lpsi_Ran_S_Ht_5,lpsi_Ran_VD_Ht_3,lpsi_Ran_VS_Ht_5,mdl_Ran_D_Ht_5,mdl_Ran_S_Ht_5,mdl_Ran_VD_Ht_3,mdl_Ran_VS_Ht_5
1,0,1,1,0,0,0,0,0,1,2,0,1,2,3,0,2
2,0,0,0,1,0,0,0,0,0,1,1,2,2,2,2,3
3,0,1,0,1,0,0,0,1,0,2,1,3,2,2,2,5
4,0,0,0,2,0,0,0,0,1,2,1,3,2,3,2,1
5,0,1,0,1,0,0,0,0,0,2,1,2,2,2,1,2
6,0,1,1,1,0,0,0,0,1,2,1,2,1,1,0,2
7,0,0,0,2,0,0,0,0,1,1,1,4,2,3,2,5
8,0,0,1,0,0,0,0,0,1,1,1,2,2,3,1,2
9,0,0,0,2,0,0,0,1,0,0,1,2,2,1,2,3
10,0,2,0,3,0,1,0,1,1,2,0,0,2,3,1,4
11,0,1,1,0,0,1,0,0,1,1,1,2,2,3,2,3
12,0,0,1,2,0,0,0,0,1,3,1,3,2,3,1,3
13,0,1,0,1,0,0,0,1,0,0,0,3,1,2,1,4
14,0,2,0,2,0,1,0,0,1,1,0,1,2,4,2,1
15,0,1,1,3,0,0,0,0,0,1,1,3,2,3,2,3
16,0,0,0,1,0,0,0,0,1,2,1,2,2,3,1,3
17,0,1,0,1,0,0,0,0,1,0,0,3,2,1,2,4
18,0,1,1,0,0,0,0,0,1,1,0,3,2,2,0,3
19,0,1,0,2,0,0,0,1,1,0,0,3,2,0,0,3
20,0,1,1,0,0,0,0,0,0,3,1,1,2,3,2,3
21,0,1,0,0,0,0,0,0,1,1,1,1,2,3,1,2
22,0,1,1,1,0,0,0,0,0,2,1,0,2,3,0,1
23,0,0,0,1,0,0,0,0,0,2,1,2,2,3,2,3
24,0,2,0,0,0,1,0,0,1,0,1,2,2,0,0,3
25,0,1,0,0,0,0,0,0,0,1,1,2,2,3,2,2
26,0,1,0,1,0,0,0,1,1,1,1,3,2,3,2,3
27,0,1,0,1,0,0,0,0,0,0,0,2,2,3,1,3
28,0,1,1,0,0,0,0,0,0,1,0,3,1,1,2,3
29,0,2,1,2,0,0,0,0,1,0,1,3,2,3,2,4
30,1,1,1,0,0,1,0,0,0,2,0,3,1,3,0,3
31,0,2,0,1,0,0,0,0,1,1,1,3,2,0,1,4
32,0,1,1,1,0,1,0,0,1,2,1,3,2,3,0,4
33,1,0,1,1,0,0,0,0,1,2,1,2,2,3,2,3
34,0,1,0,1,0,0,0,0,0,2,1,1,2,3,1,1
35,0,0,1,1,0,0,0,1,0,1,0,2,1,2,0,3
36,0,0,0,3,0,0,0,0,1,2,1,0,2,2,2,1
37,0,1,0,2,0,1,0,0,0,4,1,4,1,4,2,4
38,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2
39,0,1,1,2,0,0,0,1,1,0,1,1,2,3,0,5
40,0,0,1,1,0,0,0,0,1,2,1,2,0,3,0,2
41,0,0,1,0,0,0,0,0,0,1,1,1,2,1,1,2
42,0,0,0,0,0,0,0,0,1,3,1,4,2,4,2,4
43,0,0,0,1,0,0,0,0,1,0,1,1,2,1,2,2
44,0,0,1,1,0,0,0,1,1,2,1,2,2,2,2,3
45,0,1,1,2,0,0,0,0,1,3,1,0,1,3,1,4
46,0,0,1,0,0,0,0,0,1,0,1,2,2,3,0,3
47,0,0,0,1,0,0,0,1,1,1,1,2,2,2,2,4
48,0,1,1,2,0,0,0,4,0,1,1,0,2,3,0,0
49,0,0,0,0,0,0,0,1,1,2,0,0,2,3,1,0
50,0,1,1,1,0,0,0,0,1,2,1,1,2,3,2,3
51,0,1,0,1,0,1,0,0,1,2,1,1,2,5,2,1
52,0,0,0,1,0,0,0,0,1,2,1,1,2,3,2,1
53,0,1,0,2,0,0,0,0,1,1,1,0,2,2,2,0
54,0,2,1,1,0,0,0,0,1,2,1,1,2,4,2,2
55,0,2,1,0,0,0,0,0,1,1,1,2,2,1,1,2
56,0,1,1,1,0,0,0,0,0,1,0,1,2,1,0,0
57,0,1,1,0,0,0,0,0,1,1,1,0,1,2,1,1
58,0,0,0,1,0,0,0,0,1,2,1,3,1,3,2,4
59,0,1,0,1,0,0,0,1,1,1,0,3,2,0,2,3
60,0,0,0,1,0,0,0,1,0,1,0,2,1,3,0,4
61,0,1,0,2,0,0,0,0,0,1,1,2,2,1,2,4
62,0,2,1,1,0,0,0,1,1,2,1,3,2,4,1,2
63,0,0,1,1,0,0,0,0,0,1,1,3,1,2,0,4
64,0,1,0,2,0,0,0,0,1,1,1,2,2,2,1,3
65,0,1,0,2,0,0,0,1,0,2,1,2,2,2,1,3
66,0,0,0,1,0,0,0,0,1,2,0,2,2,3,2,2
67,0,1,0,1,0,0,0,1,1,2,0,1,2,3,2,1
68,0,1,0,1,0,0,0,0,1,0,1,3,2,2,2,2
69,0,0,0,1,0,0,0,0,1,2,0,2,2,3,2,4
70,0,0,1,1,0,0,0,0,1,1,1,2,2,2,1,3
71,0,1,0,3,0,0,0,3,1,3,1,4,1,1,1,2
72,0,2,0,1,0,0,0,0,0,2,0,2,1,4,2,3
73,0,0,0,3,0,0,0,1,0,2,1,1,2,2,1,1
74,0,0,0,1,0,0,0,0,1,1,1,0,2,2,2,2
75,0,0,1,1,0,0,0,0,1,0,1,3,2,1,1,4
76,0,0,1,2,0,0,0,2,0,2,0,1,2,2,0,1
77,0,2,0,1,0,1,0,1,1,1,0,3,2,0,1,4
78,0,1,0,1,0,2,0,1,1,3,1,3,2,4,1,4
79,0,1,0,1,0,0,0,0,1,1,1,3,1,3,2,3
80,0,0,1,2,0,0,0,1,1,2,0,3,2,2,1,3
81,0,2,0,0,0,0,0,0,1,3,0,1,2,4,1,2
82,0,0,1,0,0,0,0,0,0,1,1,2,2,3,2,2
83,0,1,1,2,0,0,0,1,0,3,1,2,1,4,2,2
84,0,1,1,1,0,0,0,0,1,3,1,4,2,3,2,4
85,1,1,1,1,0,1,0,1,1,1,1,3,3,0,1,2
86,0,1,1,1,0,0,0,0,1,2,0,1,2,2,0,4
87,0,1,0,1,0,0,0,0,0,2,0,2,2,3,2,4
88,0,0,1,2,0,0,0,2,0,0,1,4,1,2,2,5
89,0,1,0,1,0,1,0,1,1,1,1,3,2,3,2,3
90,0,0,0,1,0,0,0,0,0,1,1,1,2,2,2,3
91,0,0,0,3,0,0,0,0,1,1,1,2,1,2,1,2
92,0,1,0,3,0,0,0,0,0,1,0,0,2,3,1,4
93,0,0,1,2,0,0,0,0,1,1,1,0,2,3,0,1
94,0,1,0,1,0,0,0,0,1,3,0,1,2,4,2,3
95,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2,2
96,0,2,1,1,0,0,0,0,1,2,0,1,2,4,1,4
97,0,0,0,1,0,0,0,0,1,1,1,3,1,2,1,4
98,0,1,0,1,0,1,0,1,0,4,1,2,2,4,1,3
99,1,2,0,1,0,0,0,0,2,3,1,1,2,3,2,2
100,0,0,1,1,0,0,0,0,0,3,1,2,2,3,0,3
Accuracy @hop 0,96,39,58,20,100,87,100,72,35,13,29,11,1,6,20,4
Average Hop Error,0.04,0.74,0.42,1.14,0,0.14,0,0.35,0.66,1.52,0.71,1.94,1.8,2.46,1.28,2.72
Accuracy @hops 0-1,100,87,100,73,100,99,100,96,99,51,100,34,20,18,52,16
