,bet_Reg_Ht_40,clo_Reg_Ht_40,deg_clo_Reg_Ht_40,deg_Reg_Ht_40,ecc_clo_Reg_Ht_40,ecc_Reg_Ht_40,eig_Reg_Ht_40
1,4,4,4,6,2,4,5
2,5,6,6,8,0,0,7
3,2,0,0,6,0,1,6
4,6,6,6,8,2,4,8
5,6,4,4,7,1,1,7
6,7,2,2,7,3,3,6
7,2,2,2,6,0,0,5
8,4,4,4,7,5,3,5
9,7,0,0,7,1,3,6
10,7,3,3,7,0,0,6
11,6,6,6,8,0,0,6
12,4,3,3,8,1,1,5
13,1,1,1,1,0,1,9
14,2,2,2,5,0,3,8
15,4,4,4,8,1,1,7
16,5,5,5,5,5,1,8
17,4,5,5,7,0,2,8
18,3,3,3,6,0,2,2
19,6,6,6,7,1,2,7
20,3,1,1,6,0,1,6
21,8,0,0,6,0,1,8
22,4,4,4,7,0,0,5
23,3,1,1,8,1,1,4
24,4,5,5,8,1,1,6
25,7,7,6,7,0,1,7
26,1,1,1,6,1,3,5
27,0,0,0,9,0,1,7
28,4,4,4,7,1,1,9
29,8,8,7,5,1,1,3
30,4,2,2,7,1,1,7
31,6,4,4,7,1,1,5
32,2,1,1,7,0,0,3
33,4,4,4,5,1,1,9
34,8,1,1,8,1,1,7
35,3,3,3,6,2,3,5
36,3,3,3,7,4,2,7
37,5,4,4,7,3,0,7
38,4,1,1,7,1,1,8
39,7,5,5,8,1,5,6
40,2,1,1,9,0,1,6
41,5,5,5,7,2,0,9
42,5,1,1,8,1,1,6
43,3,2,2,8,2,0,8
44,6,6,6,8,3,1,9
45,0,0,0,6,0,1,4
46,4,4,4,7,3,2,6
47,5,3,3,7,2,2,6
48,6,6,6,7,2,0,8
49,7,7,7,7,4,5,7
50,1,1,1,6,1,1,8
51,2,2,2,8,0,0,6
52,5,4,4,7,0,0,8
53,3,1,1,8,0,1,6
54,3,0,0,8,0,1,7
55,5,3,3,8,2,2,9
56,8,5,5,7,3,8,6
57,0,0,0,7,0,0,7
58,6,0,0,6,0,1,6
59,3,3,3,6,1,1,5
60,7,7,7,7,1,2,6
61,1,1,1,5,1,1,7
62,6,6,6,6,1,1,7
63,6,8,8,7,8,3,8
64,3,3,3,3,0,2,7
65,5,4,4,7,1,2,8
66,7,4,4,6,2,2,6
67,6,7,7,10,1,1,6
68,3,1,1,8,0,1,6
69,8,8,8,6,1,1,3
70,6,6,6,8,6,0,9
71,6,6,6,7,0,0,7
72,3,2,2,7,2,2,6
73,4,2,2,5,1,1,5
74,3,0,0,5,0,0,7
75,6,6,6,8,7,2,3
76,2,1,1,8,0,0,7
77,7,7,7,9,2,2,5
78,3,8,8,7,2,2,5
79,2,3,3,5,1,1,6
80,7,7,7,8,1,2,9
81,2,2,2,8,1,1,6
82,7,5,5,8,0,1,6
83,6,7,7,7,3,1,8
84,0,0,0,8,0,2,5
85,3,3,3,7,1,1,7
86,6,7,7,7,8,5,6
87,3,7,7,6,1,3,7
88,2,2,2,4,0,1,8
89,8,2,2,7,0,0,6
90,4,4,4,8,2,3,5
91,6,6,6,4,1,1,6
92,3,4,4,2,0,0,8
93,4,2,2,7,1,0,7
94,7,4,4,7,1,1,6
95,8,8,8,7,0,2,5
96,5,3,3,5,2,1,1
97,3,6,4,4,3,4,5
98,0,0,0,7,0,0,4
99,8,3,3,7,0,0,6
100,4,2,2,7,1,0,3
Accuracy @hop 0,5,11,11,0,36,23,0
Average Hop Error,4.42,3.53,3.49,6.76,1.31,1.41,6.3
Accuracy @hops 0-1,9,25,25,1,71,66,1
